Education,Skills,Experience,Interests,Career Path
B.Sc. Computer Science,"Linux, Python, Networking, Statistics",6 years,"Art, Teaching, Blockchain",Graphic Designer
Ph.D. Psychology,"SQL, Linux, Excel, Research",6 years,"Cars, AI, Media",DevOps Engineer
B.Des Graphic Design,"MySQL, Editing, Networking",6 years,"AI, Literature",Marketing Manager
MCA,"Excel, Marketing, React, Adobe Suite, Tally",2 years,"Machine Learning, Finance",Content Strategist
B.Tech Mechanical,"Networking, R, SEO, Counseling, Tally",4 years,"Media, Manufacturing",Content Strategist
B.Sc. IT,"Illustration, SolidWorks, Editing, Statistics, Java",2 years,"Cloud, Art, Teaching",HR Specialist
B.Tech Mechanical,"Marketing, Networking, Linux",7 years,"Cybersecurity, Analytics, Literature",Cloud Architect
B.A. English,"Java, Research, MySQL, SEO, Tally",8 years,"Data Analysis, Media",Full Stack Developer
B.Tech Mechanical,"MySQL, Security, R, Editing, Adobe Suite",5 years,"Manufacturing, Forecasting, Web Apps",Content Strategist
MBA,"R, Python, Counseling, Tally, Networking",8 years,"Cloud, Machine Learning",Financial Analyst
M.Sc. Data Science,"Marketing, Linux, Statistics",5 years,"AI, Web Apps, UI Design",Data Analyst
M.Sc. Data Science,"Research, R, Counseling, SolidWorks",4 years,"Cars, Web Apps",Marketing Manager
MBA,"Excel, React, SEO, SQL",8 years,"Startups, Cybersecurity, Machine Learning",Network Engineer
MCA,"Excel, Statistics, Editing",4 years,"Forecasting, Cybersecurity",Data Analyst
B.Des Graphic Design,"Tally, Linux, Illustration, SEO",2 years,"Forecasting, Art, AI",Creative Director
MBA,"Adobe Suite, Editing, Python",6 years,"Cybersecurity, Cars",Business Analyst
MCA,"Counseling, R, Editing, Marketing, Networking",6 years,"Teaching, Data Analysis, Art",Financial Analyst
MCA,"Networking, Tally, Writing",3 years,"Blockchain, Literature, AI",DevOps Engineer
M.Sc. Data Science,"SQL, MySQL, Adobe Suite",7 years,"Manufacturing, Art",Automobile Design Engineer
B.Sc. IT,"Excel, Research, Counseling, React",2 years,"UI Design, Cybersecurity, Cars",Automobile Design Engineer
B.Sc. Computer Science,"MySQL, Statistics, SolidWorks, Security, Marketing",3 years,"AI, Cloud, Machine Learning",Automobile Design Engineer
B.Sc. Computer Science,"Excel, Networking, SQL, SolidWorks",3 years,"Blockchain, Finance, Cars",Creative Director
Ph.D. Psychology,"Counseling, SolidWorks, SQL, Java, Marketing",1 years,"Startups, Media, Analytics",Network Engineer
Ph.D. Psychology,"React, R, Statistics, Security",8 years,"Blockchain, Literature",Business Analyst
B.Sc. IT,"Adobe Suite, R, AutoCAD",6 years,"Forecasting, Machine Learning, Branding",Technical Writer
B.Des Graphic Design,"Security, Research, SEO, AutoCAD",7 years,"Media, Cybersecurity",Data Analyst
B.Sc. Computer Science,"R, MySQL, Linux",7 years,"Art, Literature, Finance",AI Researcher
MCA,"MySQL, Illustration, Statistics, SolidWorks",5 years,"UI Design, Art, Forecasting",AI Researcher
B.A. English,"MySQL, Marketing, Counseling, SQL, Linux",8 years,"Media, Teaching",Automobile Design Engineer
B.Com,"Linux, SolidWorks, Research, Python",6 years,"Manufacturing, UI Design",Marketing Manager
B.Sc. Computer Science,"Writing, Python, SolidWorks, AutoCAD, React",4 years,"Blockchain, Mental Health, Literature",DevOps Engineer
B.Des Graphic Design,"Security, Editing, Java, Illustration",6 years,"Forecasting, Media",UI/UX Designer
B.Sc. Computer Science,"Linux, Statistics, Illustration",5 years,"Blockchain, Media, Cloud",Security Analyst
B.Sc. Computer Science,"AutoCAD, SEO, Illustration",7 years,"UI Design, Blockchain, Web Apps",Full Stack Developer
B.Sc. IT,"Editing, Python, Adobe Suite, Research, Excel",4 years,"Cybersecurity, Teaching",Graphic Designer
B.Tech Mechanical,"Marketing, Statistics, Illustration",7 years,"Media, Branding, Literature",Business Analyst
B.Sc. IT,"Illustration, Counseling, Tally",1 years,"Machine Learning, Cloud",UI/UX Designer
MBA,"Illustration, R, Counseling, Tally, Java",3 years,"Mental Health, Manufacturing, UI Design",HR Specialist
MCA,"Editing, Writing, R",4 years,"Art, Web Apps, Teaching",Data Analyst
B.A. English,"Excel, Writing, Tally",1 years,"Blockchain, Branding",Financial Analyst
B.Des Graphic Design,"Illustration, Tally, Networking, MySQL, Java",2 years,"UI Design, Finance, Blockchain",Machine Learning Engineer
B.A. English,"Python, Writing, Illustration, Networking, SolidWorks",2 years,"Analytics, Startups, Teaching",Cloud Architect
B.Com,"Adobe Suite, Tally, SEO, Java",4 years,"Analytics, Literature",Network Engineer
B.A. English,"Statistics, Editing, Networking",7 years,"AI, Finance",Full Stack Developer
B.A. English,"Excel, Networking, Marketing",5 years,"Forecasting, Web Apps, Teaching",Clinical Psychologist
B.Des Graphic Design,"Adobe Suite, Python, Security, Networking",2 years,"Web Apps, Mental Health, Startups",Cloud Architect
MCA,"Writing, React, AutoCAD",1 years,"Mental Health, Literature, Forecasting",Business Analyst
B.Sc. Computer Science,"Editing, Writing, React",4 years,"Media, Art, Cloud",Data Analyst
Ph.D. Psychology,"Security, Adobe Suite, React, Marketing",4 years,"Literature, Cybersecurity",Marketing Manager
MBA,"Tally, Python, R",5 years,"Media, Startups",Business Analyst
MCA,"Tally, Adobe Suite, AutoCAD, R",7 years,"Media, Data Analysis",DevOps Engineer
B.Com,"Linux, Editing, Java, Excel, MySQL",8 years,"Analytics, UI Design",Network Engineer
B.Com,"Editing, Illustration, Statistics, Research, Linux",3 years,"Finance, Cybersecurity",Automobile Design Engineer
B.Tech Mechanical,"Excel, Adobe Suite, Java, SolidWorks, Statistics",1 years,"Cloud, Manufacturing, UI Design",Data Analyst
B.Des Graphic Design,"Linux, Java, Security, SolidWorks",7 years,"Mental Health, Web Apps, Forecasting",Financial Analyst
B.Sc. IT,"R, SolidWorks, Research",7 years,"Cybersecurity, Analytics, Web Apps",Technical Writer
MCA,"Illustration, AutoCAD, SQL, Tally",6 years,"Web Apps, Analytics, Art",Machine Learning Engineer
B.Sc. IT,"Excel, SolidWorks, SQL",4 years,"Branding, Blockchain",Creative Director
B.Com,"Editing, Networking, Writing, Statistics",1 years,"Mental Health, Branding",Automobile Design Engineer
MBA,"Illustration, Writing, React, Linux, Editing",2 years,"Cloud, Mental Health",Full Stack Developer
B.Tech Mechanical,"Writing, Security, AutoCAD, Statistics",1 years,"Teaching, Machine Learning, Mental Health",Technical Writer
B.Sc. Computer Science,"Networking, Adobe Suite, Counseling, SQL",4 years,"AI, Forecasting, Data Analysis",AI Researcher
